nct_id,location,continent,iso
NCT00754182,Italy,Europe,ITA
NCT00770016,Denmark,Europe,DNK
NCT00784303,Australia,Pacifica,AUS
NCT00784303,France,Europe,FRA
NCT00784303,Italy,Europe,ITA
NCT00784303,Poland,Europe,POL
NCT00784303,United Kingdom,Europe,GBR
NCT00784303,United States,North America,USA
NCT00786552,Germany,Europe,DEU
NCT00793689,Greece,Europe,GRC
NCT00794053,Egypt,Africa,EGY
NCT00795782,"Korea, Republic of",East Asia,KOR
NCT00800358,Malaysia,Southeast Asia,MYS
NCT00818896,United States,North America,USA
NCT00824226,Estonia,Europe,EST
NCT00856401,United States,North America,USA
NCT00880503,United States,North America,USA
NCT00887666,United States,North America,USA
NCT00896454,Canada,North America,CAN
NCT00896454,France,Europe,FRA
